USERID,FULL_NAME,GENDER,RACE,AGE,PROVINCE,CHANNEL2,RECORDDATE2,CONVERTED_DATETIME,SA_TIME,TIME_ONLY,DAY_NAME,MONTH_NAME,DURATION2,AGE_CLASSIFICATION
34,Chas� Biggers,male,white,55,Free State,None,No DateTime,,,,,,00:00:00.000,Middle Aged
39,Wilburn� Crotty,male,black,54,Eastern Cape,None,No DateTime,,,,,,00:00:00.000,Middle Aged
63,Emerson� Slane,male,black,51,Kwazulu Natal,None,No DateTime,,,,,,00:00:00.000,Middle Aged
90,Stacy� Sytsma,male,coloured,49,Kwazulu Natal,None,No DateTime,,,,,,00:00:00.000,Middle Aged
97,Lucas� Woolard,male,coloured,48,Free State,SuperSport Blitz,2016/02/04 04:40,2016-02-04 04:40:00.000,2016-02-04 06:40:00.000,04:40:00.000,Thu,Feb,00:03:12.000,Middle Aged
104,Randy� Tancredi,male,black,47,Gauteng,None,No DateTime,,,,,,00:00:00.000,Middle Aged
107,Trudie� Restivo,female,black,47,Gauteng,None,No DateTime,,,,,,00:00:00.000,Middle Aged
108,Chas� Luthy,male,coloured,47,Western Cape,None,No DateTime,,,,,,00:00:00.000,Middle Aged
120,Jared� Bilyeu,male,coloured,46,Western Cape,None,No DateTime,,,,,,00:00:00.000,Middle Aged
132,Carter� Wigfall,male,black,45,Gauteng,Boomerang,2016/01/11 20:55,2016-01-11 20:55:00.000,2016-01-11 22:55:00.000,20:55:00.000,Mon,Jan,00:11:51.000,Middle Aged
135,Emerson� Beville,male,other,45,Gauteng,None,No DateTime,,,,,,00:00:00.000,Middle Aged
138,Abel� Hier,male,None,45,Eastern Cape,None,No DateTime,,,,,,00:00:00.000,Middle Aged
146,Filiberto� Jacox,male,None,45,Western Cape,None,No DateTime,,,,,,00:00:00.000,Middle Aged
164,Claud� Borelli,male,black,43,Gauteng,None,No DateTime,,,,,,00:00:00.000,Mature Adult
206,Valentine� Tatham,male,coloured,42,Free State,None,No DateTime,,,,,,00:00:00.000,Mature Adult
212,Kyle� Martello,male,black,41,Gauteng,CNN,2016/01/06 09:48,2016-01-06 09:48:00.000,2016-01-06 11:48:00.000,09:48:00.000,Wed,Jan,00:06:01.000,Mature Adult
212,Kyle� Martello,male,black,41,Gauteng,CNN,2016/01/29 17:15,2016-01-29 17:15:00.000,2016-01-29 19:15:00.000,17:15:00.000,Fri,Jan,00:21:57.000,Mature Adult
249,Markus� Wigfall,male,black,40,Gauteng,ICC Cricket World Cup 2011,2016/03/15 15:33,2016-03-15 15:33:00.000,2016-03-15 17:33:00.000,15:33:00.000,Tue,Mar,00:09:20.000,Mature Adult
305,Jacinto� Hier,male,black,39,Eastern Cape,None,No DateTime,,,,,,00:00:00.000,Mature Adult
317,Lane� Hier,male,black,38,North West,None,No DateTime,,,,,,00:00:00.000,Mature Adult
325,Torrie� Mcclaine,female,black,38,Gauteng,None,No DateTime,,,,,,00:00:00.000,Mature Adult
338,Irving� Vital,male,black,38,Limpopo,None,No DateTime,,,,,,00:00:00.000,Mature Adult
345,Earl� Mcclaine,male,black,38,Gauteng,None,No DateTime,,,,,,00:00:00.000,Mature Adult
385,Robby� Slane,male,black,37,Gauteng,None,No DateTime,,,,,,00:00:00.000,Mature Adult
444,Kyle� Mcculloch,male,black,35,Gauteng,None,No DateTime,,,,,,00:00:00.000,Mature Adult
450,Malika� Sieren,female,None,35,Eastern Cape,None,No DateTime,,,,,,00:00:00.000,Mature Adult
464,Luanna� Hoadley,female,black,35,Gauteng,None,No DateTime,,,,,,00:00:00.000,Mature Adult
468,Shandra� Mccollum,female,black,34,Kwazulu Natal,None,No DateTime,,,,,,00:00:00.000,Adult
476,Hollis� Mcculloch,male,black,34,Mpumalanga,None,No DateTime,,,,,,00:00:00.000,Adult
477,Hyman� Condie,male,black,34,North West,None,No DateTime,,,,,,00:00:00.000,Adult
479,Hollis� Beville,male,black,34,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
483,Hyman� Lavoie,male,coloured,34,Western Cape,CNN,2016/02/26 14:13,2016-02-26 14:13:00.000,2016-02-26 16:13:00.000,14:13:00.000,Fri,Feb,00:00:00.000,Adult
507,Loyd� Lavoie,male,black,34,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
537,Romeo� Lavoie,male,coloured,33,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
547,Donald� Mcclaine,male,indian_asian,33,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
551,Lucas� Lavoie,male,black,33,Limpopo,None,No DateTime,,,,,,00:00:00.000,Adult
553,Stacy� Condie,male,white,33,Limpopo,None,No DateTime,,,,,,00:00:00.000,Adult
623,Royal� Biggers,male,black,31,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
649,Bret� Gettys,male,black,31,Mpumalanga,Africa Magic,2016/01/01 11:35,2016-01-01 11:35:00.000,2016-01-01 13:35:00.000,11:35:00.000,Fri,Jan,00:01:32.000,Adult
649,Bret� Gettys,male,black,31,Mpumalanga,Channel O,2016/01/11 06:59,2016-01-11 06:59:00.000,2016-01-11 08:59:00.000,06:59:00.000,Mon,Jan,00:05:00.000,Adult
655,Hugh Mcculloch,male,white,31,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
666,Cody� Luthy,male,coloured,31,Mpumalanga,None,No DateTime,,,,,,00:00:00.000,Adult
675,Lillie� Langenfeld,female,black,31,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
682,Abel� Slane,male,black,30,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
696,Shelley� Reisinger,female,white,30,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
701,Trudie� Restivo,female,black,30,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
775,Anette� Leicht,female,coloured,29,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
805,Cordie� Singer,female,white,29,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
806,Michel� Holt,male,indian_asian,29,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
830,Yong� Luthy,male,black,28,Northern Cape,None,No DateTime,,,,,,00:00:00.000,Adult
850,Romeo� Crotty,male,coloured,28,Western Cape,E! Entertainment,2016/03/06 00:08,2016-03-06 00:08:00.000,2016-03-06 02:08:00.000,00:08:00.000,Sun,Mar,00:07:20.000,Adult
854,Eli� Mastrangelo,male,black,28,Free State,None,No DateTime,,,,,,00:00:00.000,Adult
857,Dee� Borelli,male,black,28,Eastern Cape,None,No DateTime,,,,,,00:00:00.000,Adult
864,Emilie� Deblois,female,None,28,Western Cape,None,No DateTime,,,,,,00:00:00.000,Adult
867,Jacinto� Jacox,male,white,28,North West,None,No DateTime,,,,,,00:00:00.000,Adult
870,Bret� Roquemore,male,white,28,Free State,None,No DateTime,,,,,,00:00:00.000,Adult
876,Abel� Sytsma,male,black,28,Kwazulu Natal,None,No DateTime,,,,,,00:00:00.000,Adult
909,Art� Gettys,male,black,27,Kwazulu Natal,None,No DateTime,,,,,,00:00:00.000,Adult
912,Mellie� Creager,female,indian_asian,27,Western Cape,None,No DateTime,,,,,,00:00:00.000,Adult
916,Jacinto� Tancredi,male,black,27,Eastern Cape,None,No DateTime,,,,,,00:00:00.000,Adult
958,Jacinto� Mina,male,black,26,Mpumalanga,None,No DateTime,,,,,,00:00:00.000,Adult
959,Robby� Hoadley,male,black,26,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
967,Filiberto� Borelli,male,None,26,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
972,Irving� Martello,male,black,26,Gauteng,None,No DateTime,,,,,,00:00:00.000,Adult
991,Lane� Paradis,male,black,26,Gauteng,DStv Events 1,2016/01/13 01:50,2016-01-13 01:50:00.000,2016-01-13 03:50:00.000,01:50:00.000,Wed,Jan,00:00:20.000,Adult
991,Lane� Paradis,male,black,26,Gauteng,DStv Events 1,2016/01/15 16:49,2016-01-15 16:49:00.000,2016-01-15 18:49:00.000,16:49:00.000,Fri,Jan,00:01:40.000,Adult
991,Lane� Paradis,male,black,26,Gauteng,Cartoon Network,2016/01/20 13:43,2016-01-20 13:43:00.000,2016-01-20 15:43:00.000,13:43:00.000,Wed,Jan,00:00:09.000,Adult
991,Lane� Paradis,male,black,26,Gauteng,E! Entertainment,2016/01/15 05:50,2016-01-15 05:50:00.000,2016-01-15 07:50:00.000,05:50:00.000,Fri,Jan,00:00:16.000,Adult
